Field_ID,User_ID,User_Rating,Field_Name,Field_Rating,Field_Types
18,7706,5,GOR Badminton Mega Kuningan,4.5,Badminton
12,5342,2,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4552,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
10,3520,5,AS FUTSAL,4.3,Futsal
20,8516,5,Tunas Bugar Badminton Hall,4.3,Badminton
9,3381,3,Go All Futsal,4.2,Futsal
10,3570,5,AS FUTSAL,4.5,Futsal
1,30,5,Champion Futsal,4.3,Futsal
14,6094,5,Kuningan Village Futsal Field 1,4.3,Futsal
13,5641,2,Pelangi Futsal,4.5,Futsal
1,443,5,Champion Futsal,4.3,Futsal
9,3385,3,Go All Futsal,4.3,Futsal
14,6613,3,Kuningan Village Futsal Field 1,4.3,Futsal
14,6135,5,Kuningan Village Futsal Field 1,4.2,Futsal
10,4114,3,AS FUTSAL,4.3,Futsal
14,6645,3,Kuningan Village Futsal Field 1,4.3,Futsal
14,5887,5,Kuningan Village Futsal Field 1,4.3,Futsal
14,6686,3,Kuningan Village Futsal Field 1,4.5,Futsal
12,4477,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
6,2737,1,Lapangan Bulu Tangkis Patra,4.2,Badminton
19,8194,4,Cililitan Badminton Hall,4.2,Badminton
5,2216,5,GOR Kurnia Badminton Court,4.3,Badminton
13,5607,3,Pelangi Futsal,4.5,Futsal
18,7642,5,GOR Badminton Mega Kuningan,4.3,Badminton
3,1812,4,Planet Futsal,4.5,Futsal
12,4874,5,Futsal Court Cilandak Sport Centre,4.6,Futsal
7,2931,4,Supreme Arena Badminton,4.2,Badminton
10,4016,4,AS FUTSAL,4.2,Futsal
4,2079,5,Royal Futsal,4.3,Futsal
9,3297,4,Go All Futsal,4.5,Futsal
6,2655,5,Lapangan Bulu Tangkis Patra,4.5,Badminton
12,4799,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
3,1878,4,Planet Futsal,4.6,Futsal
7,2945,3,Supreme Arena Badminton,4.3,Badminton
20,8519,5,Tunas Bugar Badminton Hall,4.4,Badminton
2,1518,3,Centro Futsal,4.3,Futsal
14,5799,5,Kuningan Village Futsal Field 1,4.4,Futsal
2,1280,5,Centro Futsal,4.2,Futsal
19,8026,5,Cililitan Badminton Hall,4.5,Badminton
12,4715,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4833,5,Futsal Court Cilandak Sport Centre,4.6,Futsal
7,2844,5,Supreme Arena Badminton,4.2,Badminton
4,2025,5,Royal Futsal,4.3,Futsal
9,3374,3,Go All Futsal,4.2,Futsal
5,2477,3,GOR Kurnia Badminton Court,4.5,Badminton
12,5039,4,Futsal Court Cilandak Sport Centre,4.3,Futsal
3,1738,5,Planet Futsal,4.2,Futsal
4,2057,5,Royal Futsal,4.2,Futsal
19,8109,5,Cililitan Badminton Hall,4.3,Badminton
14,6542,4,Kuningan Village Futsal Field 1,4.5,Futsal
1,26,5,Champion Futsal,4.3,Futsal
9,3125,5,Go All Futsal,4.2,Futsal
5,2392,4,GOR Kurnia Badminton Court,4.6,Badminton
