Field_ID,User_ID,User_Rating,Field_Name,Field_Rating,Field_Types
2,1338,5,Centro Futsal,4.5,Futsal
1,411,5,Champion Futsal,4.2,Futsal
10,3860,4,AS FUTSAL,4.5,Futsal
12,5158,4,Futsal Court Cilandak Sport Centre,4.3,Futsal
14,6627,3,Kuningan Village Futsal Field 1,4.6,Futsal
7,2896,5,Supreme Arena Badminton,4.5,Badminton
6,2714,4,Lapangan Bulu Tangkis Patra,4.3,Badminton
14,5894,5,Kuningan Village Futsal Field 1,4.5,Futsal
1,516,5,Champion Futsal,4.6,Futsal
15,6809,5,Gedung Bulutangkis Gelora Sunter,4.5,Badminton
12,4981,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
10,4075,3,AS FUTSAL,4.5,Futsal
1,376,5,Champion Futsal,4.5,Futsal
12,4535,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
14,6101,5,Kuningan Village Futsal Field 1,4.3,Futsal
14,6333,4,Kuningan Village Futsal Field 1,4.5,Futsal
18,7610,5,GOR Badminton Mega Kuningan,4.2,Badminton
19,8463,1,Cililitan Badminton Hall,4.5,Badminton
18,7740,4,GOR Badminton Mega Kuningan,4.3,Badminton
14,6172,5,Kuningan Village Futsal Field 1,4.5,Futsal
12,4658,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
1,41,5,Champion Futsal,4.2,Futsal
19,8296,4,Cililitan Badminton Hall,4.3,Badminton
14,6192,5,Kuningan Village Futsal Field 1,4.4,Futsal
17,7331,5,Lapangan Bulutangkis Talenta,4.5,Badminton
12,4641,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
20,8576,5,Tunas Bugar Badminton Hall,4.5,Badminton
6,2599,5,Lapangan Bulu Tangkis Patra,4.4,Badminton
2,1429,4,Centro Futsal,4.3,Futsal
14,6175,5,Kuningan Village Futsal Field 1,4.4,Futsal
2,1008,5,Centro Futsal,4.3,Futsal
14,6401,4,Kuningan Village Futsal Field 1,4.5,Futsal
18,7751,4,GOR Badminton Mega Kuningan,4.3,Badminton
20,8724,4,Tunas Bugar Badminton Hall,4.2,Badminton
19,8410,3,Cililitan Badminton Hall,4.5,Badminton
6,2547,5,Lapangan Bulu Tangkis Patra,4.5,Badminton
6,2677,4,Lapangan Bulu Tangkis Patra,4.3,Badminton
9,3263,5,Go All Futsal,4.3,Futsal
14,5806,5,Kuningan Village Futsal Field 1,4.3,Futsal
14,6429,4,Kuningan Village Futsal Field 1,4.5,Futsal
6,2504,5,Lapangan Bulu Tangkis Patra,4.6,Badminton
7,2940,4,Supreme Arena Badminton,4.3,Badminton
9,3314,4,Go All Futsal,4.6,Futsal
8,2994,5,Lapangan Badminton Tomang,4.3,Badminton
14,6482,4,Kuningan Village Futsal Field 1,4.5,Futsal
18,7533,5,GOR Badminton Mega Kuningan,4.2,Badminton
10,3998,4,AS FUTSAL,4.3,Futsal
20,8489,5,Tunas Bugar Badminton Hall,4.5,Badminton
6,2609,5,Lapangan Bulu Tangkis Patra,4.4,Badminton
2,1514,3,Centro Futsal,4.5,Futsal
1,352,5,Champion Futsal,4.3,Futsal
14,6087,5,Kuningan Village Futsal Field 1,4.5,Futsal
12,5052,4,Futsal Court Cilandak Sport Centre,4.2,Futsal
19,8079,5,Cililitan Badminton Hall,4.2,Badminton
10,3675,5,AS FUTSAL,4.5,Futsal
1,551,5,Champion Futsal,4.3,Futsal
13,5378,5,Pelangi Futsal,4.4,Futsal
2,1529,3,Centro Futsal,4.2,Futsal
19,7903,5,Cililitan Badminton Hall,4.5,Badminton
1,309,5,Champion Futsal,4.2,Futsal
10,4072,3,AS FUTSAL,4.3,Futsal
13,5631,3,Pelangi Futsal,4.5,Futsal
1,436,5,Champion Futsal,4.6,Futsal
7,2861,5,Supreme Arena Badminton,4.2,Badminton
5,2358,4,GOR Kurnia Badminton Court,4.5,Badminton
12,5072,4,Futsal Court Cilandak Sport Centre,4.2,Futsal
10,4085,3,AS FUTSAL,4.5,Futsal
6,2620,5,Lapangan Bulu Tangkis Patra,4.5,Badminton
1,325,5,Champion Futsal,4.5,Futsal
18,7489,5,GOR Badminton Mega Kuningan,4.5,Badminton
12,5061,4,Futsal Court Cilandak Sport Centre,4.6,Futsal
7,2908,4,Supreme Arena Badminton,4.5,Badminton
18,7540,5,GOR Badminton Mega Kuningan,4.3,Badminton
14,5716,5,Kuningan Village Futsal Field 1,4.2,Futsal
